StartMark,EndMark,DistanceNM,Color
SB 2,SB 1,2.408926966797517,black
SB 2,SBSC Start,3.7103666518969294,black
SBSC Start,SB 1,2.157727322347056,black
SB 1,R1,2.0089839309561297,black
SBSC Start,R1,2.057122921969861,black
R1,Mornington VM,4.739706683280587,black
St. Leonards Finish,R1,13.255260564480528,black
MMYC1,Mornington VM,11.057433142629428,black
V 3,Mornington VM,14.544159721071368,black
V 4,Mornington VM,13.978984654128086,black
Centre Mark,Mornington VM,11.883285281999816,black
Mornington VM,St. Leonards Finish,14.74702025028678,black
Prince George,Mornington VM,15.359268873878367,black
Mornington VM,Spoil Ground,15.307911165966775,black
SB 1,V 4,16.29737254303096,black
R1,Centre Mark,13.771958447269746,black
St. Leonards Finish,Prince George,3.9413269925337513,black
Point Richards Entrance,Prince George,3.592108037424377,black
Point Richards Entrance,Point Richards No.18,6.906928392877815,black
Outer Achorage,Point Richards No.18,18.90352852148134,black
Point Richards Entrance,V 2,6.456627439962372,black
Point Richards Entrance,Spoil Ground,11.894077574203774,black
V 2,V 4,1.6820223483707717,black
Prince George,V 2,4.77281176091763,black
V 3,Prince George,4.129535330597167,black
V 3,MMYC1,12.31841963831159,black
Centre Mark,MMYC1,8.860447671967522,black
V 4,MMYC1,10.828814386561636,black
Prince George,MMYC1,15.751646825009548,black
Spoil Ground,MMYC1,8.436709323222878,black
Outer Achorage,Spoil Ground,2.4117005297477268,black
Outer Achorage,V 2,6.297114922071337,black
SYC 1,Spoil Ground,4.756604105885747,black
SYC 2,Spoil Ground,4.604681307671068,black
Outer Achorage,SYC 1,5.815254426434164,black
P 2,Spoil Ground,3.7058562242856974,black
P 3,Outer Achorage,3.745753016304508,black
P 3,P 2,2.026115527223135,black
P 2,Outer Achorage,2.088933522882241,black
P 2,SYC 2,3.899109049529884,black
P 2,RBYC 2,3.236471293835111,black
RBYC 2,SYC 2,1.2908164613514457,black
SYC 2,SYC 7,1.115504891606906,black
SYC 1,SYC 7,1.9078204645369607,black
RBYC 5,RBYC 2,1.734148764734453,black
R 2,RBYC 5,1.8000224130329197,black
R 2,P 2,2.574913594863831,black
RMYS E,RMYS B,1.1072260150162323,black
SB 3,R3,0.7521785103116077,black
R3,RMYS B,0.6427436643197446,black
RMYS E,SB 3,1.22233133301518,black
RMYS G,SB 3,1.5093048382818288,black
RMYS G,RMYS E,1.8016311543232169,black
RMYS B,RBYC 5,1.1784378690195625,black
R3,R 2,1.354294677837133,black
R 4,R3,2.596583796488172,red
R 4,X-Ray,0.6724365683979018,red
SB 3,St. Leonards Finish,20.510463085953745,red
